id,lat,lon,terminal
1,23,16,1
2,19,19,1
3,18,13,1
4,9,5,1
5,3,29,1
6,7,18,1
7,24,6,1
8,26,18,1
9,31,33,1
10,10,16,1
11,1,24,1
12,21,17,1
13,8,5,1
14,34,13,1
15,10,11,1
16,9,1,1
17,19,6,1
18,10,32,1
19,1,27,1
20,36,3,1
21,33,6,1
22,35,34,1
23,31,32,1
24,14,12,1
25,4,17,1
26,27,26,1
27,25,16,1
28,16,20,1
29,6,35,1
30,12,18,1
31,25,30,1
32,19,27,1
33,27,6,1
34,24,29,1
35,3,1,1
36,36,27,1
37,7,18,1
38,17,13,1
39,21,28,1
40,24,26,1
41,30,16,1
42,28,30,1
43,11,30,1
44,7,30,1
45,31,19,1
46,24,6,1
47,22,22,1
48,18,33,1
49,23,11,1
50,14,13,1
51,32,12,1
52,18,27,1
53,17,26,1
54,11,11,1
55,20,32,1
56,21,4,1
57,6,3,1
58,26,35,1
59,8,23,1
60,11,28,1
61,26,6,1
62,7,12,1
63,16,1,1
64,8,21,1
65,5,34,1
66,30,17,1
67,12,13,1
68,18,19,1
69,3,4,1
70,3,28,1
71,12,14,1
72,12,6,1
73,13,14,1
74,24,10,1
75,16,11,1
76,30,1,1
77,32,9,1
78,20,17,1
79,13,6,1
80,20,14,1
81,10,17,1
82,14,19,1
83,31,20,1
84,32,12,1
85,3,8,1
86,35,6,1
87,1,21,1
88,3,12,1
89,28,24,1
90,14,29,1
91,8,30,1
92,31,25,1
93,31,11,1
94,28,19,1
95,13,20,1
96,35,18,1
97,12,6,1
98,21,13,1
99,8,32,1
100,22,9,1
101,12,7,1
102,26,19,1
103,3,14,1
104,4,31,1
105,7,26,1
106,7,25,1
107,6,12,1
108,10,1,1
109,7,12,1
110,2,27,1
111,3,9,1
112,1,35,1
113,23,1,1
114,10,30,1
115,17,8,1
116,7,10,1
117,30,17,1
118,1,21,1
119,19,22,1
120,34,35,1
121,27,18,1
122,29,23,1
123,14,23,1
124,35,23,1
125,13,14,1
126,32,26,1
127,27,11,1
