from,to,travel_time
1,8,5
1,12,3
1,27,3
1,49,6
1,78,4
1,80,5
1,98,5
1,102,5
1,121,5
2,12,4
2,28,4
2,47,5
2,68,2
2,78,3
2,82,6
2,119,4
3,12,6
3,24,5
3,38,2
3,49,6
3,50,5
3,75,4
3,80,3
3,98,4
3,115,6
4,13,2
4,16,5
4,57,5
4,69,7
4,72,4
4,79,5
4,97,4
4,101,5
4,108,5
4,116,6
5,11,6
5,19,4
5,44,5
5,65,6
5,70,2
5,104,3
5,110,3
5,112,7
6,10,5
6,25,4
6,30,6
6,37,1
6,59,6
6,64,4
6,81,4
7,33,4
7,46,1
7,56,5
7,61,3
7,74,5
7,113,6
8,1,5
8,12,6
8,27,3
8,41,5
8,66,5
8,94,3
8,102,2
8,121,2
9,22,5
9,23,2
9,31,8
9,36,9
9,42,5
9,58,6
9,120,5
10,6,5
10,30,4
10,37,5
10,64,6
10,67,5
10,71,4
10,73,5
10,81,2
10,82,6
10,125,5
11,5,6
11,19,4
11,70,5
11,87,4
11,110,4
11,118,4
12,1,3
12,2,4
12,3,6
12,8,6
12,27,5
12,47,6
12,68,5
12,78,2
12,80,4
12,98,5
13,4,2
13,16,5
13,57,4
13,69,6
13,79,6
13,101,5
13,108,5
14,20,11
14,51,3
14,77,5
14,84,3
14,93,5
14,96,6
15,54,2
15,62,4
15,67,4
15,73,5
15,101,5
15,107,5
15,109,4
16,4,5
16,13,5
16,57,5
16,108,2
17,56,4
17,63,7
17,113,7
17,115,4
18,29,6
18,43,3
18,44,5
18,60,5
18,65,6
18,90,6
18,91,4
18,99,3
18,114,3
19,5,4
19,11,4
19,70,3
19,87,7
19,104,6
19,105,7
19,110,2
19,118,7
20,14,11
20,21,5
20,33,10
20,51,11
20,76,7
20,77,8
20,86,4
20,93,10
21,20,5
21,33,7
21,51,7
21,76,7
21,77,4
21,86,3
21,93,6
22,9,5
22,23,5
22,36,8
22,42,9
22,58,10
22,120,2
22,126,10
23,9,2
23,22,5
23,31,7
23,36,8
23,42,5
23,58,7
23,120,5
23,126,7
24,3,5
24,38,4
24,50,2
24,54,4
24,73,3
24,75,3
24,115,6
24,125,3
25,6,4
25,37,4
25,87,6
25,88,6
25,103,4
25,118,6
26,31,5
26,34,5
26,39,7
26,40,4
26,42,5
26,89,3
26,92,5
26,122,5
27,1,3
27,8,3
27,12,5
27,41,6
27,49,6
27,94,5
27,102,4
27,121,4
27,127,6
28,2,4
28,30,5
28,53,7
28,68,3
28,82,3
28,95,4
28,119,5
28,123,5
29,18,6
29,43,8
29,44,6
29,65,2
29,99,5
29,104,5
29,112,6
30,6,6
30,10,4
30,28,5
30,37,6
30,81,3
30,82,3
30,95,3
30,123,6
31,9,8
31,23,7
31,26,5
31,32,8
31,34,2
31,39,5
31,40,5
31,42,4
31,55,6
31,58,6
31,89,8
32,31,8
32,34,6
32,39,3
32,40,6
32,48,7
32,52,2
32,53,3
32,55,6
32,90,6
33,7,4
33,20,10
33,21,7
33,46,4
33,61,2
33,76,7
33,113,7
33,127,6
34,26,5
34,31,2
34,32,6
34,39,4
34,40,4
34,42,5
34,55,6
35,57,5
35,69,4
36,9,9
36,22,8
36,23,8
36,92,6
36,124,5
36,126,5
37,6,1
37,10,5
37,25,4
37,30,6
37,59,6
37,64,4
37,81,4
38,3,2
38,24,4
38,75,3
38,80,4
38,98,5
39,26,7
39,31,5
39,32,3
39,34,4
39,40,5
39,48,7
39,52,4
39,53,5
39,55,5
40,26,4
40,31,5
40,32,6
40,34,4
40,39,5
40,47,5
40,89,5
41,8,5
41,27,6
41,45,4
41,51,5
41,66,2
41,83,5
41,93,6
41,94,5
41,96,6
41,117,2
42,9,5
42,22,9
42,23,5
42,26,5
42,31,4
42,34,5
42,58,6
43,18,3
43,29,8
43,44,5
43,60,3
43,90,4
43,91,4
43,99,5
43,105,7
43,106,7
43,114,2
44,5,5
44,18,5
44,29,6
44,43,5
44,60,5
44,65,5
44,70,5
44,91,2
44,99,3
44,104,4
44,105,5
44,106,6
44,110,7
44,114,4
45,41,4
45,66,3
45,83,2
45,94,4
45,96,5
45,117,3
45,121,5
46,7,1
46,33,4
46,56,5
46,61,3
46,74,5
46,113,6
47,2,5
47,12,6
47,40,5
47,68,6
47,119,4
48,32,7
48,39,7
48,52,7
48,55,3
49,1,6
49,3,6
49,27,6
49,74,2
49,80,5
49,98,4
49,100,3
49,127,5
50,3,5
50,24,2
50,67,3
50,73,2
50,75,4
50,125,2
51,14,3
51,20,11
51,21,7
51,41,5
51,66,6
51,77,4
51,84,1
51,93,2
51,96,8
51,117,6
52,32,2
52,39,4
52,48,7
52,53,2
52,55,6
52,90,5
53,28,7
53,32,3
53,39,5
53,52,2
53,90,5
53,119,5
53,123,5
54,15,2
54,24,4
54,62,5
54,67,3
55,31,6
55,32,6
55,34,6
55,39,5
55,48,3
55,52,6
56,7,5
56,17,4
56,46,5
56,61,6
56,100,6
56,113,5
57,4,5
57,13,4
57,16,5
57,35,5
57,69,4
57,85,7
57,108,5
58,9,6
58,22,10
