from,to,demand
1,2,260
1,3,410
1,4,315
1,5,225
1,6,715
1,7,245
1,8,665
1,9,150
1,10,685
1,11,240
1,12,25
1,13,300
1,14,310
1,15,690
1,16,740
1,17,210
1,18,465
1,19,265
1,20,380
1,21,595
1,22,540
1,23,55
1,24,725
1,25,580
1,26,355
1,27,140
1,28,335
1,29,5
1,30,440
1,31,455
1,32,55
1,33,310
1,34,405
1,35,695
1,36,600
1,37,600
1,38,680
1,39,190
1,40,275
1,41,775
1,42,115
1,43,85
1,44,730
1,45,95
1,46,600
1,47,580
1,48,100
1,49,790
1,50,170
1,51,200
1,52,390
1,53,235
1,54,575
1,55,460
1,56,570
1,57,85
1,58,255
1,59,745
1,60,715
1,61,480
1,62,400
1,63,665
1,64,655
1,65,115
1,66,485
1,67,635
1,68,600
1,69,10
1,70,155
1,71,310
1,72,355
1,73,715
1,74,745
1,75,485
1,76,585
1,77,720
1,78,290
1,79,165
1,80,425
1,81,745
1,82,170
1,83,790
1,84,335
1,85,215
1,86,585
1,87,430
1,88,305
1,89,310
1,90,175
1,91,680
1,92,60
1,93,295
1,94,90
1,95,735
1,96,35
1,97,185
1,98,285
1,99,715
1,100,390
1,101,170
1,102,255
1,103,720
1,104,10
1,105,140
1,106,615
1,107,145
1,108,410
1,109,240
1,110,700
1,111,660
1,112,800
1,113,300
1,114,410
1,115,600
1,116,320
1,117,750
1,118,345
1,119,35
1,120,130
1,121,290
1,122,50
1,123,675
1,124,715
1,125,50
1,126,165
1,127,70
2,1,260
2,3,460
2,4,350
2,5,75
2,6,625
2,7,590
2,8,120
2,9,495
2,10,640
2,11,660
2,12,295
2,13,650
2,14,50
2,15,75
2,16,645
2,17,440
2,18,720
2,19,150
2,20,670
2,21,55
2,22,485
2,23,50
2,24,190
2,25,180
2,26,210
2,27,480
2,28,560
2,29,740
2,30,525
2,31,510
2,32,325
2,33,290
2,34,365
2,35,675
2,36,315
2,37,715
2,38,650
2,39,660
2,40,695
2,41,275
2,42,55
2,43,215
2,44,75
2,45,540
2,46,760
2,47,530
2,48,335
2,49,195
2,50,285
2,51,560
2,52,395
2,53,660
2,54,265
2,55,80
2,56,670
2,57,345
2,58,210
2,59,485
2,60,465
2,61,770
2,62,55
2,63,580
2,64,725
2,65,160
2,66,720
2,67,660
2,68,535
2,69,530
2,70,430
2,71,120
2,72,495
2,73,300
2,74,355
2,75,480
2,76,705
2,77,95
2,78,790
2,79,690
2,80,355
2,81,670
2,82,235
2,83,410
2,84,605
2,85,305
2,86,215
2,87,215
2,88,470
2,89,355
2,90,360
2,91,785
2,92,635
2,93,170
2,94,760
2,95,50
2,96,20
2,97,170
2,98,240
2,99,295
2,100,685
2,101,755
2,102,55
2,103,330
2,104,760
2,105,180
2,106,40
2,107,10
2,108,180
2,109,540
2,110,110
2,111,565
2,112,310
2,113,290
2,114,775
2,115,75
2,116,205
2,117,335
2,118,565
2,119,600
2,120,30
2,121,630
2,122,255
2,123,335
2,124,75
2,125,280
2,126,105
2,127,245
3,1,410
3,2,460
3,4,760
3,5,620
3,6,660
3,7,95
3,8,165
3,9,475
3,10,10
3,11,220
3,12,530
3,13,165
3,14,550
3,15,90
3,16,360
3,17,105
3,18,420
3,19,210
3,20,130
3,21,340
3,22,450
3,23,245
3,24,590
3,25,275
3,26,40
3,27,330
3,28,260
3,29,290
3,30,45
3,31,600
3,32,65
3,33,235
3,34,335
3,35,560
3,36,185
3,37,640
3,38,610
3,39,275
3,40,185
3,41,570
3,42,330
3,43,760
3,44,525
3,45,85
3,46,625
3,47,560
3,48,90
3,49,170
3,50,750
3,51,165
3,52,35
3,53,435
3,54,5
3,55,465
3,56,360
3,57,680
3,58,475
3,59,45
3,60,555
3,61,105
3,62,755
3,63,35
3,64,565
3,65,615
3,66,565
3,67,320
3,68,715
3,69,380
3,70,495
3,71,105
3,72,670
3,73,360
3,74,740
3,75,620
3,76,175
3,77,115
3,78,95
3,79,180
3,80,180
3,81,180
3,82,360
3,83,250
3,84,655
3,85,470
3,86,700
3,87,590
3,88,565
3,89,685
3,90,110
3,91,105
3,92,370
3,93,235
3,94,540
3,95,190
3,96,170
3,97,490
3,98,490
3,99,800
3,100,795
3,101,580
3,102,665
3,103,295
3,104,120
3,105,630
3,106,520
3,107,795
3,108,625
3,109,780
3,110,120
3,111,575
3,112,230
3,113,485
3,114,375
3,115,455
3,116,735
3,117,335
3,118,75
3,119,615
3,120,300
3,121,395
3,122,235
3,123,490
3,124,680
3,125,515
3,126,400
3,127,740
4,1,315
4,2,350
4,3,760
4,5,280
4,6,20
4,7,40
4,8,640
4,9,780
4,10,595
4,11,225
4,12,575
4,13,80
4,14,735
4,15,630
4,16,125
4,17,340
4,18,765
4,19,155
4,20,220
4,21,45
4,22,120
4,23,65
4,24,570
4,25,60
4,26,420
4,27,625
4,28,60
4,29,530
4,30,350
4,31,320
4,32,485
4,33,800
4,34,105
4,35,160
4,36,715
4,37,50
4,38,70
4,39,470
4,40,35
4,41,85
4,42,320
4,43,435
4,44,175
4,45,310
4,46,735
4,47,290
4,48,435
4,49,150
4,50,275
4,51,685
4,52,775
4,53,430
4,54,715
4,55,600
4,56,115
4,57,5
4,58,635
4,59,415
4,60,185
4,61,565
4,62,525
4,63,695
4,64,280
4,65,265
4,66,240
4,67,15
4,68,225
4,69,690
4,70,125
4,71,445
4,72,50
4,73,680
4,74,775
4,75,245
4,76,190
4,77,750
4,78,675
4,79,625
4,80,410
4,81,470
4,82,470
4,83,340
4,84,670
4,85,125
4,86,90
4,87,420
4,88,445
4,89,135
4,90,120
4,91,50
4,92,350
4,93,395
4,94,5
4,95,210
4,96,275
4,97,15
4,98,565
4,99,680
4,100,340
4,101,650
4,102,795
4,103,350
4,104,770
4,105,350
4,106,170
4,107,165
4,108,605
4,109,760
4,110,690
4,111,330
4,112,765
4,113,380
4,114,570
4,115,395
4,116,295
4,117,495
4,118,525
4,119,175
4,120,450
4,121,770
4,122,710
4,123,780
4,124,510
4,125,325
4,126,360
4,127,10
5,1,225
5,2,75
5,3,620
5,4,280
5,6,270
5,7,620
5,8,520
5,9,360
5,10,755
5,11,785
5,12,395
5,13,355
5,14,640
5,15,100
5,16,665
5,17,600
5,18,470
5,19,245
5,20,470
5,21,460
5,22,170
5,23,50
5,24,185
5,25,795
5,26,650
5,27,35
5,28,435
5,29,215
5,30,410
5,31,470
5,32,40
5,33,705
5,34,390
5,35,160
5,36,790
5,37,725
5,38,505
5,39,300
5,40,745
5,41,720
5,42,45
5,43,75
5,44,195
5,45,270
5,46,685
5,47,15
5,48,210
5,49,580
5,50,75
5,51,690
5,52,135
5,53,365
5,54,230
5,55,440
5,56,780
5,57,120
5,58,695
5,59,395
5,60,475
5,61,5
5,62,390
5,63,590
5,64,430
5,65,790
5,66,405
5,67,40
5,68,90
5,69,380
5,70,135
5,71,365
5,72,495
5,73,95
5,74,70
5,75,20
5,76,70
5,77,335
5,78,355
5,79,685
5,80,195
5,81,675
5,82,300
5,83,20
5,84,600
5,85,135
5,86,20
5,87,470
5,88,640
5,89,550
5,90,240
5,91,430
5,92,140
5,93,430
5,94,170
5,95,550
5,96,315
5,97,185
5,98,465
5,99,105
5,100,230
5,101,65
5,102,315
5,103,700
5,104,490
5,105,295
5,106,520
5,107,495
5,108,275
5,109,135
5,110,760
5,111,410
5,112,765
5,113,380
5,114,750
5,115,635
5,116,400
5,117,15
5,118,195
5,119,355
5,120,715
5,121,735
5,122,500
5,123,380
5,124,660
5,125,295
5,126,535
5,127,280
6,1,715
6,2,625
6,3,660
6,4,20
6,5,270
6,7,100
6,8,375
6,9,35
6,10,440
6,11,775
6,12,150
6,13,35
6,14,360
6,15,320
6,16,780
6,17,540
6,18,585
6,19,90
6,20,400
6,21,745
6,22,540
6,23,340
6,24,260
6,25,795
6,26,605
6,27,265
6,28,305
6,29,455
6,30,590
6,31,330
6,32,495
6,33,780
6,34,685
6,35,310
6,36,220
6,37,670
6,38,395
6,39,380
6,40,120
6,41,85
6,42,245
6,43,790
6,44,65
6,45,215
6,46,295
6,47,515
6,48,80
6,49,20
6,50,250
6,51,765
6,52,725
6,53,585
6,54,525
6,55,495
6,56,175
6,57,570
6,58,150
6,59,720
6,60,50
6,61,260
6,62,685
6,63,100
6,64,605
6,65,380
6,66,245
6,67,485
6,68,170
6,69,560
6,70,240
6,71,155
6,72,260
6,73,750
6,74,535
6,75,605
6,76,780
6,77,345
6,78,245
6,79,685
6,80,320
6,81,590
6,82,515
6,83,695
6,84,315
6,85,795
6,86,255
6,87,35
6,88,280
6,89,665
6,90,660
6,91,265
6,92,735
6,93,505
6,94,60
6,95,545
6,96,290
6,97,125
6,98,40
6,99,655
6,100,710
6,101,10
6,102,200
6,103,45
6,104,285
6,105,300
6,106,565
6,107,355
6,108,705
6,109,165
6,110,85
6,111,190
6,112,490
6,113,480
6,114,430
6,115,525
6,116,610
6,117,245
6,118,240
6,119,415
6,120,580
6,121,730
6,122,260
6,123,185
6,124,95
6,125,260
6,126,35
6,127,265
7,1,245
7,2,590
7,3,95
7,4,40
7,5,620
7,6,100
7,8,90
7,9,470
7,10,710
7,11,720
7,12,430
7,13,605
7,14,335
7,15,20
7,16,165
7,17,185
7,18,450
7,19,65
7,20,340
7,21,465
7,22,675
7,23,540
7,24,650
7,25,65
7,26,460
7,27,85
7,28,575
7,29,255
7,30,555
7,31,705
7,32,5
7,33,345
7,34,275
7,35,630
7,36,620
7,37,530
7,38,315
7,39,195
7,40,100
7,41,170
7,42,500
7,43,475
7,44,775
7,45,415
7,46,755
7,47,185
7,48,450
7,49,70
7,50,660
7,51,145
7,52,455
7,53,655
7,54,760
7,55,520
7,56,160
7,57,70
7,58,295
7,59,790
7,60,225
7,61,185
7,62,110
7,63,725
7,64,345
7,65,450
7,66,15
7,67,385
7,68,670
7,69,50
7,70,260
7,71,310
7,72,585
7,73,775
7,74,780
7,75,505
7,76,685
7,77,235
7,78,305
7,79,185
7,80,790
7,81,10
7,82,555
7,83,305
7,84,575
7,85,105
7,86,65
7,87,455
7,88,720
7,89,490
7,90,645
7,91,30
7,92,495
7,93,290
7,94,115
7,95,105
7,96,30
7,97,325
7,98,780
7,99,715
7,100,480
7,101,320
7,102,20
7,103,620
7,104,560
7,105,35
7,106,590
7,107,650
7,108,55
