from,to,demand
1,2,770
1,3,5
1,4,620
1,5,655
1,6,695
1,7,70
1,8,320
1,9,210
1,10,645
1,11,350
1,12,730
1,13,150
1,14,215
1,15,120
1,16,110
1,17,700
1,18,465
1,19,440
1,20,120
1,21,685
1,22,500
1,23,285
1,24,415
1,25,325
1,26,65
1,27,195
1,28,100
1,29,150
1,30,195
2,1,770
2,3,335
2,4,40
2,5,725
2,6,760
2,7,395
2,8,395
2,9,275
2,10,725
2,11,300
2,12,90
2,13,625
2,14,315
2,15,195
2,16,325
2,17,80
2,18,110
2,19,755
2,20,765
2,21,465
2,22,50
2,23,190
2,24,285
2,25,660
2,26,15
2,27,35
2,28,140
2,29,520
2,30,590
3,1,5
3,2,335
3,4,520
3,5,365
3,6,440
3,7,240
3,8,600
3,9,155
3,10,550
3,11,150
3,12,295
3,13,505
3,14,625
3,15,65
3,16,745
3,17,625
3,18,390
3,19,350
3,20,360
3,21,250
3,22,410
3,23,410
3,24,655
3,25,640
3,26,520
3,27,305
3,28,650
3,29,430
3,30,285
4,1,620
4,2,40
4,3,520
4,5,755
4,6,705
4,7,445
4,8,500
4,9,470
4,10,170
4,11,245
4,12,380
4,13,185
4,14,680
4,15,160
4,16,185
4,17,140
4,18,185
4,19,350
4,20,250
4,21,740
4,22,345
4,23,150
4,24,725
4,25,785
4,26,355
4,27,90
4,28,210
4,29,330
4,30,480
5,1,655
5,2,725
5,3,365
5,4,755
5,6,210
5,7,485
5,8,570
5,9,180
5,10,95
5,11,240
5,12,260
5,13,340
5,14,410
5,15,70
5,16,210
5,17,645
5,18,25
5,19,745
5,20,585
5,21,395
5,22,465
5,23,190
5,24,370
5,25,775
5,26,440
5,27,420
5,28,190
5,29,395
5,30,500
6,1,695
6,2,760
6,3,440
6,4,705
6,5,210
6,7,545
6,8,320
6,9,295
6,10,795
6,11,35
6,12,710
6,13,735
6,14,640
6,15,80
6,16,210
6,17,270
6,18,545
6,19,110
6,20,580
6,21,90
6,22,525
6,23,400
6,24,625
6,25,575
6,26,725
6,27,715
6,28,270
6,29,560
6,30,160
7,1,70
7,2,395
7,3,240
7,4,445
7,5,485
7,6,545
7,8,25
7,9,600
7,10,405
7,11,385
7,12,725
7,13,490
