from,to,travel_time
1,3,4
1,4,7
1,24,4
1,51,5
1,70,6
2,10,5
2,12,5
2,17,3
2,27,3
2,32,5
2,50,3
2,60,5
2,69,5
3,1,4
3,15,7
3,24,6
3,51,4
4,1,7
4,20,5
4,24,5
4,30,3
4,39,5
4,49,4
4,67,3
4,70,2
5,8,4
5,13,5
5,26,5
5,41,5
5,54,5
6,19,4
6,33,5
6,38,2
6,55,4
6,66,2
6,68,4
7,22,7
7,36,6
7,48,6
7,57,5
7,64,5
8,5,4
8,41,2
8,47,3
8,48,7
8,54,4
9,11,5
9,27,5
9,29,2
9,52,5
9,53,4
9,56,5
9,57,3
10,2,5
10,12,3
10,17,6
10,18,8
10,32,5
10,50,6
10,60,4
10,69,1
11,9,5
11,17,4
11,18,6
11,21,5
11,29,5
11,53,5
11,56,2
11,60,5
12,2,5
12,10,3
12,16,7
12,32,3
12,50,5
12,60,6
12,69,3
13,5,5
13,26,2
13,28,5
13,41,9
13,42,5
14,21,6
14,23,5
14,34,4
14,44,4
14,51,5
15,3,7
15,45,5
15,61,7
15,62,8
16,12,7
16,31,5
16,43,3
16,50,4
16,63,4
17,2,3
17,10,6
17,11,4
17,27,2
17,56,5
18,10,8
18,11,6
18,21,4
18,44,5
18,45,8
18,51,8
18,56,6
18,60,5
18,61,7
18,62,4
19,6,4
19,20,4
19,33,4
19,38,5
19,39,5
19,40,4
19,55,2
19,66,4
19,67,5
19,68,7
19,70,7
20,4,5
20,19,4
20,23,6
20,30,6
20,37,5
20,39,2
20,55,3
20,66,7
20,67,2
20,70,5
21,11,5
21,14,6
21,18,4
21,34,6
21,44,5
21,53,5
21,56,4
22,7,7
22,25,3
22,31,5
22,63,6
22,64,3
23,14,5
23,20,6
23,34,3
23,37,5
23,39,5
23,46,5
24,1,4
24,3,6
24,4,5
24,30,6
24,51,5
24,70,4
25,22,3
25,31,3
25,43,6
25,63,4
25,64,4
26,5,5
26,13,2
26,28,4
26,35,6
26,42,5
26,58,6
27,2,3
27,9,5
27,17,2
27,31,4
27,50,3
27,63,7
28,13,5
28,26,4
28,42,6
28,68,6
29,9,2
29,11,5
29,57,3
30,4,3
30,20,6
30,24,6
30,49,3
30,67,5
30,70,3
31,16,5
31,22,5
31,25,3
31,27,4
31,43,6
31,63,5
31,64,5
32,2,5
32,10,5
32,12,3
33,6,5
33,19,4
33,38,5
33,40,3
33,55,5
33,66,4
34,14,4
34,21,6
34,23,3
34,44,6
34,51,7
34,59,5
35,26,6
35,36,3
35,42,3
35,46,5
35,52,4
35,58,2
35,59,4
36,7,6
36,35,3
36,42,5
36,52,2
36,58,3
36,59,4
36,65,4
37,20,5
37,23,5
37,39,4
37,42,6
37,46,3
37,55,5
38,6,2
38,19,5
38,33,5
38,66,2
38,68,4
39,4,5
39,19,5
39,20,2
39,23,5
39,37,4
39,55,4
39,67,3
39,70,5
40,19,4
40,33,3
40,49,4
40,66,6
41,5,5
41,8,2
41,13,9
41,47,2
41,48,8
41,54,5
42,13,5
42,26,5
42,28,6
42,35,3
42,36,5
42,37,6
42,46,4
42,52,6
42,58,4
42,59,5
43,16,3
43,25,6
43,31,6
43,50,6
43,63,3
44,14,4
44,18,5
44,21,5
44,34,6
44,51,4
44,62,6
45,15,5
45,18,8
45,61,3
45,62,5
46,23,5
46,35,5
46,37,3
46,42,4
46,59,5
47,8,3
47,41,2
47,54,5
48,7,6
48,8,7
48,41,8
48,54,5
49,4,4
49,30,3
49,40,4
49,67,5
49,70,5
50,2,3
50,10,6
50,12,5
50,16,4
50,27,3
50,43,6
50,63,6
51,1,5
51,3,4
51,14,5
51,18,8
51,24,5
51,34,7
51,44,4
52,9,5
52,35,4
52,36,2
52,42,6
52,57,4
52,58,4
52,59,4
52,65,3
53,9,4
53,11,5
53,21,5
53,56,4
53,65,3
54,5,5
54,8,4
54,41,5
54,47,5
54,48,5
55,6,4
55,19,2
55,20,3
55,33,5
55,37,5
55,39,4
55,66,5
55,67,4
56,9,5
56,11,2
56,17,5
56,18,6
56,21,4
56,53,4
57,7,5
57,9,3
57,29,3
57,52,4
58,26,6
58,35,2
58,36,3
58,42,4
58,52,4
58,59,5
59,34,5
59,35,4
59,36,4
59,42,5
59,46,5
59,52,4
59,58,5
59,65,3
60,2,5
60,10,4
60,11,5
60,12,6
60,18,5
60,69,4
61,15,7
61,18,7
61,45,3
61,62,4
62,15,8
62,18,4
62,44,6
62,45,5
62,61,4
63,16,4
63,22,6
63,25,4
63,27,7
63,31,5
63,43,3
63,50,6
64,7,5
64,22,3
64,25,4
64,31,5
65,36,4
65,52,3
65,53,3
65,59,3
66,6,2
66,19,4
66,20,7
66,33,4
66,38,2
66,40,6
66,55,5
66,68,5
67,4,3
67,19,5
67,20,2
67,30,5
67,39,3
67,49,5
67,55,4
67,70,4
68,6,4
68,19,7
68,28,6
68,38,4
68,66,5
69,2,5
69,10,1
69,12,3
69,60,4
70,1,6
70,4,2
70,19,7
70,20,5
70,24,4
70,30,3
70,39,5
70,49,5
70,67,4
