from,to,travel_time
1,2,3
1,40,6
1,57,4
1,62,6
1,66,6
1,79,6
1,81,6
1,88,4
1,98,5
2,1,3
2,57,6
2,62,5
2,88,6
2,98,6
3,16,3
3,35,5
3,36,5
3,46,5
3,64,6
3,84,3
3,95,6
4,7,5
4,10,5
4,16,6
4,19,5
4,20,7
4,23,4
4,35,5
4,55,3
4,67,2
4,68,6
4,82,6
4,84,6
4,86,4
4,94,5
4,99,6
5,37,7
5,78,5
5,108,5
5,109,7
6,12,6
6,37,5
6,43,3
6,78,5
6,108,5
6,109,5
7,4,5
7,23,3
7,25,4
7,55,3
7,67,6
7,82,2
7,86,2
7,87,8
7,95,6
8,11,5
8,26,3
8,38,5
8,41,6
8,42,9
8,50,9
8,53,8
8,58,9
8,71,5
8,85,5
8,104,7
8,105,7
9,13,5
9,36,5
9,50,5
9,54,3
9,63,3
9,64,6
9,91,3
9,92,5
10,4,5
10,19,4
10,20,6
10,24,5
10,67,5
10,93,5
10,94,6
11,8,5
11,26,7
11,38,7
11,41,6
11,53,5
11,58,6
11,71,7
11,105,10
12,6,6
12,43,5
12,65,3
12,74,2
12,80,5
12,90,2
12,97,2
12,107,4
12,110,3
13,9,5
13,17,5
13,39,6
13,42,7
13,48,5
13,54,4
13,61,5
13,63,3
13,64,5
13,75,5
13,104,6
14,22,5
14,29,6
14,33,2
14,51,5
14,69,5
15,32,7
15,34,7
15,70,5
15,77,2
15,100,5
15,103,8
16,3,3
16,4,6
16,19,7
16,35,2
16,36,4
16,55,6
16,67,6
16,84,2
17,13,5
17,42,3
17,48,3
17,61,5
17,71,6
17,75,5
17,104,4
18,21,4
18,28,5
18,33,6
18,40,4
18,51,3
18,57,5
18,66,3
18,69,4
18,76,5
18,79,3
18,96,2
19,4,5
19,10,4
19,16,7
19,35,6
19,67,4
19,68,2
19,93,5
19,94,3
19,99,2
19,101,5
20,4,7
20,10,6
20,23,5
20,24,3
20,25,5
20,32,4
20,34,3
20,83,5
20,86,6
20,103,5
21,18,4
21,33,4
21,51,2
21,69,2
21,76,3
21,96,3
22,14,5
22,28,5
22,29,2
22,33,5
22,47,8
22,60,4
22,69,6
22,87,6
23,4,4
23,7,3
23,20,5
23,25,4
23,32,7
23,55,3
23,67,5
23,86,2
24,10,5
24,20,3
24,32,5
24,34,4
24,83,4
25,7,4
25,20,5
25,23,4
25,32,5
25,55,5
25,86,4
25,87,8
25,103,5
26,8,3
26,11,7
26,38,6
26,41,7
26,71,4
26,85,4
26,105,5
27,30,7
27,31,3
27,44,3
27,45,5
27,73,6
27,83,5
28,18,5
28,22,5
28,33,6
28,60,3
28,95,5
28,96,5
28,102,4
28,106,5
29,14,6
29,22,2
29,47,7
29,60,5
29,87,5
30,27,7
30,31,5
30,44,5
31,27,3
31,30,5
31,44,1
31,45,7
31,70,6
32,15,7
32,20,4
32,23,7
32,24,5
32,25,5
32,34,3
32,52,7
32,72,8
32,77,7
32,89,7
32,103,3
33,14,2
33,18,6
33,21,4
33,22,5
33,28,6
33,51,4
33,60,4
33,69,3
33,96,5
34,15,7
34,20,3
34,24,4
34,32,3
34,77,7
34,83,5
34,100,5
34,103,5
35,3,5
35,4,5
35,16,2
35,19,6
35,36,4
35,55,6
35,67,5
35,84,3
35,94,5
36,3,5
36,9,5
36,16,4
36,35,4
36,50,5
36,84,5
36,91,5
36,92,5
36,94,5
37,5,7
37,6,5
37,49,5
37,65,5
37,73,5
37,80,4
37,108,3
37,109,1
38,8,5
38,11,7
38,26,6
38,41,3
38,58,7
38,85,6
38,105,6
39,13,6
39,46,3
39,54,5
39,56,5
39,59,6
39,64,2
39,75,7
39,81,3
39,88,5
40,1,6
40,18,4
40,56,4
40,57,3
40,66,2
40,79,3
40,88,5
41,8,6
41,11,6
41,26,7
41,38,3
41,58,5
41,105,8
42,8,9
42,13,7
42,17,3
42,48,4
42,61,6
42,71,5
42,75,7
42,104,4
42,105,11
43,6,3
43,12,5
43,58,6
43,74,4
43,90,5
43,97,4
43,107,5
44,27,3
44,30,5
44,31,1
44,45,7
44,70,6
44,73,7
45,27,5
45,31,7
45,44,7
45,49,4
45,73,3
45,83,5
45,93,5
46,3,5
46,39,3
46,54,5
46,56,4
46,64,2
46,81,5
46,88,6
47,22,8
47,29,7
47,52,7
47,87,4
48,13,5
48,17,3
48,42,4
48,59,7
48,61,3
48,63,7
48,75,4
48,104,6
49,37,5
49,45,4
49,73,2
49,80,5
49,93,6
49,108,6
49,109,5
50,8,9
50,9,5
50,36,5
50,53,5
50,91,2
50,92,1
51,14,5
51,18,3
51,21,2
51,33,4
51,66,5
51,69,2
51,76,4
51,96,2
52,32,7
52,47,7
52,72,4
52,87,5
52,89,4
52,103,5
53,8,8
53,11,5
53,50,5
53,90,5
53,92,5
53,101,5
54,9,3
54,13,4
54,39,5
54,46,5
54,63,3
54,64,4
54,91,5
55,4,3
55,7,3
55,16,6
55,23,3
55,25,5
55,35,6
55,67,4
55,86,2
56,39,5
56,40,4
56,46,4
56,64,5
56,81,5
56,88,4
56,102,4
57,1,4
57,2,6
57,18,5
57,40,3
57,62,7
57,66,3
57,88,3
58,8,9
58,11,6
58,38,7
58,41,5
58,43,6
58,107,5
59,39,6
59,48,7
59,61,5
59,75,4
59,81,5
59,98,4
60,22,4
60,28,3
60,29,5
60,33,4
60,69,4
60,96,4
61,13,5
61,17,5
61,42,6
61,48,3
61,59,5
61,75,2
62,1,6
62,2,5
62,57,7
62,66,8
63,9,3
63,13,3
63,48,7
63,54,3
63,91,5
63,92,6
63,104,5
64,3,6
64,9,6
64,13,5
64,39,2
64,46,2
64,54,4
64,56,5
64,81,5
65,12,3
65,37,5
65,74,4
65,80,3
65,90,4
65,93,5
65,97,3
65,110,3
66,1,6
66,18,3
66,40,2
66,51,5
66,57,3
66,62,8
66,79,2
67,4,2
67,7,6
67,10,5
67,16,6
67,19,4
67,23,5
67,35,5
67,55,4
67,86,5
67,94,5
68,4,6
68,19,2
68,93,5
68,94,3
68,99,1
68,101,5
69,14,5
69,18,4
69,21,2
69,22,6
69,33,3
69,51,2
69,60,4
69,76,5
69,96,2
70,15,5
70,31,6
70,44,6
70,77,6
70,100,3
71,8,5
71,11,7
71,17,6
71,26,4
71,42,5
71,85,6
71,104,4
71,105,8
72,32,8
72,52,4
72,87,8
72,89,2
72,103,6
73,27,6
73,37,5
73,44,7
73,45,3
73,49,2
73,80,5
73,93,5
73,109,5
74,12,2
74,43,4
74,65,4
74,80,5
74,90,2
74,97,2
74,107,3
74,110,4
75,13,5
75,17,5
75,39,7
75,42,7
75,48,4
75,59,4
75,61,2
76,18,5
76,21,3
76,51,4
76,69,5
77,15,2
77,32,7
77,34,7
77,70,6
77,100,5
77,103,7
78,5,5
78,6,5
78,108,4
79,1,6
79,18,3
79,40,3
79,66,2
79,96,4
80,12,5
80,37,4
80,49,5
80,65,3
80,73,5
80,74,5
80,109,4
81,1,6
81,39,3
81,46,5
81,56,5
81,59,5
81,64,5
81,88,4
81,98,4
82,4,6
82,7,2
82,86,3
82,87,8
82,95,5
82,106,5
83,20,5
83,24,4
83,27,5
83,34,5
83,45,5
83,100,5
84,3,3
84,4,6
84,16,2
84,35,3
84,36,5
84,95,5
84,106,5
85,8,5
85,26,4
85,38,6
85,71,6
85,105,3
86,4,4
86,7,2
86,20,6
86,23,2
86,25,4
86,55,2
86,67,5
86,82,3
86,95,6
87,7,8
87,22,6
87,25,8
87,29,5
87,47,4
87,52,5
87,72,8
87,82,8
88,1,4
88,2,6
88,39,5
88,40,5
88,46,6
88,56,4
88,57,3
88,81,4
88,98,5
89,32,7
89,52,4
89,72,2
89,103,5
90,12,2
90,43,5
90,53,5
90,65,4
90,74,2
90,97,3
90,107,3
90,110,3
91,9,3
91,36,5
91,50,2
91,54,5
91,63,5
91,92,2
92,9,5
92,36,5
92,50,1
92,53,5
92,63,6
92,91,2
92,101,6
93,10,5
93,19,5
93,45,5
93,49,6
93,65,5
93,68,5
93,73,5
94,4,5
94,10,6
94,19,3
94,35,5
94,36,5
94,67,5
94,68,3
94,99,3
94,101,4
95,3,6
95,7,6
95,28,5
95,82,5
95,84,5
95,86,6
95,102,5
95,106,1
96,18,2
96,21,3
96,28,5
96,33,5
96,51,2
96,60,4
96,69,2
96,79,4
97,12,2
97,43,4
97,65,3
97,74,2
97,90,3
98,1,5
98,2,6
98,59,4
98,81,4
98,88,5
99,4,6
99,19,2
99,68,1
99,94,3
100,15,5
100,34,5
100,70,3
100,77,5
100,83,5
101,19,5
101,53,5
101,68,5
101,92,6
