id,lat,lon,terminal
1,3,7,1
2,1,6,1
3,12,14,1
4,19,15,1
5,28,33,1
6,21,31,1
7,20,11,1
8,7,29,1
9,9,19,1
10,22,18,1
11,11,28,1
12,18,27,1
13,5,18,1
14,15,1,1
15,33,13,1
16,14,15,1
17,3,21,1
18,10,5,1
19,19,19,1
20,25,14,1
21,11,2,1
22,17,5,1
23,21,13,1
24,25,16,1
25,23,11,1
26,5,29,1
27,30,21,1
28,13,7,1
29,18,5,1
30,33,26,1
31,32,22,1
32,27,12,1
33,14,2,1
34,27,14,1
35,15,16,1
36,13,18,1
37,24,28,1
38,8,33,1
39,6,13,1
40,8,7,1
41,10,33,1
42,2,23,1
43,19,31,1
44,32,22,1
45,26,22,1
46,8,13,1
47,23,1,1
48,1,20,1
49,26,25,1
50,11,22,1
51,11,3,1
52,26,6,1
53,13,25,1
54,8,17,1
55,19,13,1
56,8,10,1
57,6,7,1
58,14,32,1
59,1,14,1
60,14,5,1
61,1,18,1
62,2,2,1
63,7,19,1
64,7,14,1
65,20,26,1
66,8,6,1
67,19,16,1
68,19,20,1
69,12,3,1
70,33,17,1
71,5,26,1
72,29,5,1
73,26,24,1
74,18,28,1
75,1,17,1
76,9,1,1
77,33,12,1
78,24,33,1
79,8,5,1
80,22,26,1
81,4,12,1
82,19,10,1
83,27,18,1
84,14,14,1
85,3,31,1
86,20,12,1
87,22,4,1
88,5,9,1
89,29,6,1
90,17,27,1
91,10,21,1
92,11,22,1
93,22,22,1
94,17,19,1
95,15,10,1
96,11,4,1
97,19,28,1
98,1,11,1
99,19,20,1
100,31,16,1
101,16,22,1
102,11,9,1
103,27,10,1
104,5,23,1
105,3,33,1
106,15,10,1
107,16,29,1
108,25,30,1
109,24,28,1
110,18,25,1
