id,lat,lon,terminal
1,-30.875393,-55.60165,1
2,-30.876683,-55.591102,0
3,-30.889253,-55.586219,0
4,-30.885728,-55.577737,0
5,-30.872179,-55.574653,0
6,-30.879339,-55.567823,1
7,-30.888482,-55.570687,0
8,-30.892227,-55.580711,0
9,-30.898065,-55.584456,0
10,-30.896853,-55.577406,0
11,-30.896302,-55.57256,0
12,-30.882423,-55.562206,0
13,-30.884461,-55.563693,0
14,-30.886719,-55.56507,0
15,-30.890079,-55.567548,0
16,-30.896688,-55.569365,0
17,-30.883855,-55.560058,0
18,-30.889031,-55.55915,0
19,-30.890935,-55.561864,0
20,-30.892723,-55.563032,0
21,-30.895506,-55.564959,0
22,-30.897941,-55.566421,0
23,-30.900743,-55.568407,0
24,-30.903056,-55.564692,0
25,-30.900046,-55.562477,0
26,-30.897609,-55.561217,1
27,-30.89465,-55.559232,0
28,-30.891628,-55.556933,0
29,-30.896358,-55.555872,0
30,-30.899342,-55.558088,0
31,-30.9015,-55.559985,0
32,-30.904626,-55.561783,0
33,-30.905875,-55.559157,0
34,-30.903015,-55.556896,0
35,-30.900909,-55.555252,0
36,-30.902636,-55.551851,0
37,-30.899882,-55.549208,0
38,-30.901039,-55.547721,0
39,-30.902691,-55.544581,1
40,-30.902912,-55.547556,0
41,-30.904288,-55.548767,0
42,-30.904288,-55.553779,0
43,-30.90572,-55.554936,0
44,-30.907641,-55.556882,1
45,-30.910842,-55.563803,1
46,-30.911724,-55.571458,0
47,-30.913321,-55.577792,0
48,-30.91602,-55.581813,0
49,-30.919985,-55.581978,1
50,-30.907042,-55.551851,1
51,-30.909576,-55.55455,0
52,-30.90561,-55.546179,0
53,-30.907979,-55.550309,0
54,-30.908034,-55.546564,1
55,-30.909291,-55.54826,0
56,-30.910071,-55.550805,0
57,-30.911503,-55.550695,0
58,-30.91266,-55.551796,0
59,-30.915524,-55.553283,0
60,-30.918939,-55.555211,0
61,-30.917782,-55.558791,0
62,-30.918443,-55.562811,0
63,-30.921197,-55.565565,0
64,-30.922574,-55.567273,0
65,-30.920729,-55.557359,0
66,-30.922375,-55.555472,0
67,-30.922656,-55.559176,0
68,-30.924694,-55.560003,0
69,-30.927062,-55.561545,1
70,-30.904949,-55.541456,0
71,-30.907648,-55.542392,0
72,-30.909392,-55.545986,0
73,-30.910237,-55.542447,0
74,-30.904454,-55.538151,0
75,-30.904399,-55.535232,0
76,-30.905335,-55.531432,0
77,-30.906822,-55.529615,0
78,-30.910732,-55.529151,1
79,-30.914448,-55.531025,0
80,-30.911797,-55.535012,0
81,-30.910555,-55.537114,0
82,-30.911724,-55.54421,0
83,-30.916075,-55.549497,0
84,-30.908441,-55.541085,1
